Ticker,Model,MAE,MAPE_%
AAPL,MLP,4.643044750434024,2.0138169016759053
AAPL,LSTM,3.9421695652488387,1.7084085528377992
AAPL,FinBERT-LSTM,3.2793623213252237,1.4217144685191359
AMZN,MLP,3.278877353515628,1.7384143794948455
AMZN,LSTM,1.9503109215856578,1.0455111099057932
AMZN,FinBERT-LSTM,2.2152022309027863,1.180819510902823
GOOGL,MLP,1.8457777604166676,1.120164929945036
GOOGL,LSTM,1.5458531177662027,0.9402046094190304
GOOGL,FinBERT-LSTM,1.2130956007667835,0.7422369178990024
META,MLP,63.20687233000578,10.942648242622788
META,LSTM,21.27864047815394,3.677394461151757
META,FinBERT-LSTM,27.789644552228,4.801242468056684
MSFT,MLP,2.548391264105886,0.6024489152915363
MSFT,LSTM,2.5729449591290408,0.609069498631014
MSFT,FinBERT-LSTM,3.8661090679253345,0.9150919731608094
NVDA,MLP,8.233690677463109,6.220379373744871
NVDA,LSTM,4.465487001211661,3.341300936367183
NVDA,FinBERT-LSTM,3.69529558320674,2.841021649277177
TSLA,MLP,7.3548897374132025,2.9961705825958918
TSLA,LSTM,11.387026449291099,4.886460323836851
TSLA,FinBERT-LSTM,7.618505374710656,3.067403288090984
