date,ticker,finbert_score
2023-11-13,AAPL,-0.66
2023-11-13,AMZN,0.0
2023-11-13,MSFT,0.66
2023-11-13,TSLA,0.396
2023-11-14,AAPL,0.66
2023-11-14,AMZN,0.0
2023-11-14,GOOGL,-0.66
2023-11-14,MSFT,0.66
2023-11-14,NVDA,0.66
2023-11-14,TSLA,0.66
2023-11-15,GOOGL,0.66
2023-11-15,NVDA,0.66
2023-11-15,TSLA,0.66
2023-11-16,AAPL,0.44
2023-11-16,AMZN,0.42
2023-11-16,GOOGL,-0.66
2023-11-16,META,-0.66
2023-11-16,MSFT,0.66
2023-11-16,TSLA,0.0
2023-11-17,AAPL,0.22
2023-11-17,AMZN,0.0
2023-11-17,META,-0.66
2023-11-17,MSFT,-0.33
2023-11-17,NVDA,0.66
2023-11-20,GOOGL,0.33
2023-11-20,META,0.66
2023-11-20,TSLA,0.66
2023-11-21,AAPL,0.66
2023-11-21,AMZN,0.66
2023-11-21,MSFT,0.66
2023-11-21,NVDA,0.66
2023-11-21,TSLA,0.0
2023-11-22,AAPL,-0.66
2023-11-22,AMZN,0.396
2023-11-22,GOOGL,0.0
2023-11-22,META,-0.66
2023-11-22,MSFT,0.66
2023-11-22,NVDA,0.09428571428571429
2023-11-24,AMZN,-0.22
2023-11-24,META,-0.66
2023-11-24,NVDA,0.0
2023-11-24,TSLA,0.33
2023-11-27,AAPL,0.0
2023-11-27,AMZN,-0.396
2023-11-27,META,-0.66
2023-11-27,TSLA,0.0
2023-11-28,AAPL,0.66
2023-11-28,AMZN,0.5866666666666667
2023-11-28,MSFT,0.0825
2023-11-28,NVDA,0.66
2023-11-28,TSLA,0.22
2023-11-29,AAPL,0.66
2023-11-29,AMZN,0.4714285714285715
2023-11-29,GOOGL,0.66
2023-11-29,META,0.0
2023-11-29,MSFT,0.66
2023-11-29,NVDA,0.66
2023-11-29,TSLA,0.08249999999999999
2023-11-30,AAPL,0.66
2023-11-30,AMZN,0.66
2023-11-30,MSFT,0.11
2023-12-01,AAPL,0.22
2023-12-01,AMZN,0.66
2023-12-01,META,0.0
2023-12-01,MSFT,-0.66
2023-12-01,TSLA,0.0
2023-12-04,AAPL,0.0
2023-12-04,AMZN,0.66
2023-12-04,META,-0.396
2023-12-04,NVDA,0.66
2023-12-04,TSLA,-0.66
2023-12-05,AMZN,-0.66
2023-12-06,AMZN,0.0
2023-12-06,GOOGL,0.0
2023-12-06,META,0.66
2023-12-06,MSFT,0.0
