Ticker,Model,MAE,MAPE_%
AAPL,MLP,4.643044750434024,2.0138169016759053
AAPL,LSTM,3.942169565248838,1.7084085528377992
AMZN,MLP,3.278877353515628,1.7384143794948457
AMZN,LSTM,1.9503109215856576,1.0455111099057932
GOOGL,MLP,1.8457777604166676,1.120164929945036
GOOGL,LSTM,1.5458531177662027,0.9402046094190304
META,MLP,63.20687233000578,10.942648242622788
META,LSTM,21.27864047815394,3.677394461151757
MSFT,MLP,2.548391264105886,0.6024489152915363
MSFT,LSTM,2.5729449591290408,0.609069498631014
NVDA,MLP,8.233690677463109,6.220379373744871
NVDA,LSTM,4.465487001211661,3.341300936367183
TSLA,MLP,7.354889737413203,2.996170582595892
TSLA,LSTM,11.3870264492911,4.886460323836851
AAPL,LSTM+FinBERT,3.2793623213252237,1.421714468519136
AMZN,LSTM+FinBERT,2.2152022309027863,1.180819510902823
GOOGL,LSTM+FinBERT,1.2130956007667837,0.7422369178990024
META,LSTM+FinBERT,27.789644552228,4.801242468056684
MSFT,LSTM+FinBERT,3.8661090679253345,0.9150919731608094
NVDA,LSTM+FinBERT,3.69529558320674,2.841021649277177
TSLA,LSTM+FinBERT,7.618505374710656,3.067403288090984
AAPL,LSTM+DeBERTa-v3,2.267325456452536,0.9873567420948636
AMZN,LSTM+DeBERTa-v3,3.4848987792968766,1.8655362475548527
GOOGL,LSTM+DeBERTa-v3,1.2862023404947904,0.7838988654914201
META,LSTM+DeBERTa-v3,20.08375862630209,3.467233244590731
MSFT,LSTM+DeBERTa-v3,3.612361750940386,0.853647297033238
NVDA,LSTM+DeBERTa-v3,5.99064444514974,4.4387390444006405
TSLA,LSTM+DeBERTa-v3,6.997741093749999,2.8393983685603637
AAPL,LSTM+Llama-FinSent,4.095579926938651,1.7727389373278686
AMZN,LSTM+Llama-FinSent,2.846495772931137,1.518411005448874
GOOGL,LSTM+Llama-FinSent,1.4633864771412055,0.8962519653668874
META,LSTM+Llama-FinSent,24.18002381148726,4.181878923869618
MSFT,LSTM+Llama-FinSent,3.108550071252898,0.7360220498813459
NVDA,LSTM+Llama-FinSent,3.924214892523874,2.977359749135636
TSLA,LSTM+Llama-FinSent,8.202971210214123,3.413179999003076
AAPL,LSTM+Qwen2.5-1.5B,4.763202149160873,2.0640634813315484
AMZN,LSTM+Qwen2.5-1.5B,3.003475755570025,1.5990593658633687
GOOGL,LSTM+Qwen2.5-1.5B,2.896659149667246,1.7696781752418234
META,LSTM+Qwen2.5-1.5B,24.690373070746528,4.265625914182465
MSFT,LSTM+Qwen2.5-1.5B,2.6657595287181644,0.6299224653965957
NVDA,LSTM+Qwen2.5-1.5B,4.569916594816983,3.6816168679051327
TSLA,LSTM+Qwen2.5-1.5B,6.384879502676506,2.6012415302956216
AAPL,LSTM+Gemma-3-1B,2.3144421231192065,1.0024203948527317
AMZN,LSTM+Gemma-3-1B,2.897283821976274,1.5448963737992507
GOOGL,LSTM+Gemma-3-1B,1.6046442201967592,0.9764452180720578
META,LSTM+Gemma-3-1B,35.560031589265044,6.146658804519773
MSFT,LSTM+Gemma-3-1B,2.998594253110521,0.7085770408041685
NVDA,LSTM+Gemma-3-1B,6.584542190230759,4.887690517612794
TSLA,LSTM+Gemma-3-1B,9.392708645471645,3.802873669259691
