ticker,date,period,article_count,headlines,direction,distinct_events,cat_ai_infrastructure_platforms,cat_ai_product_platform_ecosystem,cat_analyst_consensus_signals,cat_autonomous_driving_robotaxi,cat_cloud_infrastructure_investment,cat_cybersecurity_service_incidents,cat_earnings_deliveries_production,cat_earnings_valuation_milestones,cat_enterprise_industry_adoption,cat_ev_market_competition_pricing,cat_gaming_consumer_products,cat_gaming_entertainment_strategy,cat_market_sector_sentiment,cat_musk_leadership_governance,cat_openai_partnership_governance,cat_regulatory_antitrust_legal,cat_regulatory_geopolitical_risk,cat_safety_recalls_regulatory,cat_supply_chain_competitive_dynamics,cat_workforce_operations_restructuring,actionability,capital_commitment_scale,ceo_focus_dilution,competitive_impact,controversy,directional_clarity,expected_duration,information_density,management_signal,materiality,narrative_shift,regulatory_risk,repeatedness,scope,sentiment_strength,supply_chain_significance,surprise,temporal_horizon,reasoning
MSFT,2023-11-15,gap,1,Microsoft Announces Expiration and Final Results of its Private Exchange Offers ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-11-20,gap,3,Microsoft eyes seat on OpenAI's revamped board - The Information | OpenAI board in discussions with Sam Altman to return as CEO- The Verge | OpenAI Interim CEO Told Staff In Companywide Meeting Its Relationship With Micro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-11-22,gap,6,Microsoft Investing $500 Million to Grow Digital Footprint in Quebec | MICROSOFT EXPANDS DIGITAL FOOTPRINT IN QUEBEC WITH USD$500 MILLION INVESTMENT IN | Sam Altman : a return to OpenAI? | Stocks called flat ahead of autumn statement | Greg Brockman Says Returning To OpenAI & Getting Back To Coding Tonight | Microsoft Is Discussing Governance Changes It Wants From OpenAI Including Increa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-11-24,gap,1,Tech Advances on Clarity in AI Landscape -- Tech Roundup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-11-28,gap,1,4 AI Stocks Tech Investors Can̢۪t Ignore For 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-11-29,gap,3,"Okta says hackers stole data for all customer support users in cyber breach | Microsoft announces quarterly dividend | OpenAI not expected to offer a board seat to Microsoft, other investors- The Inf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-11-30,gap,3,"Microsoft president says no chance of superintelligent AI soon | ChatGPT one year on : From viral AI bot to OpenAI's boardroom battle | Microsoft to take non-voting, observer position on OpenAI's board",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-12-01,gap,2,Google pushes for antitrust action against Microsoft in UK cloud market | Viral AI chatbot ChatGPT turns one,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-12-08,gap,6,"Trending : UK Regulator to Probe Microsoft's Partnership With OpenAI | Microsoft's Partnership With OpenAI to Be Probed by UK Regulator -- Update | Microsoft's Partnership With OpenAI to Be Probed by UK Regulator | Microsoft denies taking control at OpenAI after UK review | UK antitrust regulator considering Microsoft, OpenAI partnership | Stalled EU AI Act talks set to resume",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-12-11,gap,1,Microsoft says it does not own any portion of OpenAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-12-12,gap,1,AFL-CIO and Microsoft announce new tech-labor partnership on AI and the future o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-12-18,gap,1,Activision Blizzard settles workplace harassment lawsuit in California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-12-20,gap,1,Chestnut Carbon to Deliver High-Quality Carbon Removal Credits through a Multi-y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-12-21,gap,1,Tech Slips as AI Speculation Slows -- Tech Roundup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2023-12-28,gap,1,Microsoft : Wedbush raises its price target,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-01-09,gap,3,Microsoft's OpenAI Investment Could Face EU Probe -- Update | Microsoft : Brussels to examine OpenAI partnership | Microsoft's OpenAI Investment Could Face EU Probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-01-11,gap,2,Hanwha Qcells Announces Expansion of Strategic Alliance with Microsoft | OpenAI CEO Sam Altman to meet US House Speaker Mike Johnson - Axios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-01-12,gap,1,Tech Up on Torrid Speculation -- Tech Roundup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-01-16,gap,2,"Vodafone and Microsoft sign 10-year strategic partnership to bring generative AI | Vodafone signs $1.5 bln Microsoft deal for AI, cloud and IoT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-01-17,gap,2,Cognigy Now Available in the Microsoft Azure Marketplace | Microsoft announces quarterly earnings release date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-01-22,gap,4,Microsoft Reports Cyber Attack by Russian-Sponsored Hacking Group -- Update | Microsoft says it was hacked by Russian state-sponsored group | Microsoft Reports Cyberattack by Russian-Sponsored Hacking Group -- Update | Microsoft says it detected cyber incident beginning November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-01-25,gap,2,"Microsoft lays off 1,900 Activision Blizzard, Xbox staff - The Verge | OpenAI's Altman discussed chip-making venture with US Congress members -WaPo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-01-26,gap,3,Elon Musk's AI startup seeks to raise up to $6 bln -FT | EMEA Morning Briefing : Shares Set to Start Mixed -2- | FTC opens inquiry into Big Tech's partnerships with leading AI startups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-01-31,gap,3,"Microsoft: price target raised by Wedbush | Investors punish Microsoft, Alphabet as AI returns fall short of lofty expectati | Microsoft: EPS up 26% in Q2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-01,gap,1,"Excel, PowerPoint and OneNote on VisionPro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-05,gap,1,Rubrik plans April listing amid U.S. probe into former employee -sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-07,gap,1,Microsoft in talks to end trade body's cloud computing complaint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-08,gap,5,"Microsoft partners with India's Sarvam AI for voice-based genAI tools | Generative AI faces major test as Indonesia holds largest election since boom | OpenAI developing software that operates devices, automates tasks - The Informat | Microsoft launches Copilot internally to boost AI adoption by developers - Busin | Arm forecast beats estimates as AI spurs chip upgrades",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-09,gap,4,Indian startup Sarvam AI collaborates with Microsoft to bring its Indic voice la | Microsoft chairman and CEO Satya Nadella highlights key role of India's develope | OpenAI hits $2 bln revenue milestone - FT | OpenAI hits $2 bln revenue milestone as growth skyrockets - FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-15,gap,1,Microsoft to invest 3.2 bln eur in Germany in AI push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-16,gap,1,Advisory firm Ankura launches generative AI tool crafted with ChatGPT developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-21,gap,2,Third Point Investors posts accelerated gain for master fund | Microsoft quadruples AI and cloud investments in Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-26,gap,1,Microsoft Strikes Deal With Mistral In Push Beyond OpenAI - FT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-28,gap,3,"Conductor by Diagrid Now Available in Microsoft Azure Marketplace | France had no prior knowledge of Microsoft's Mistral AI deal, official says | Microsoft to Acquire 10,000 Credits From Biochar Startup Bio-Logical -- OPIS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-02-29,gap,1,"US SEC investigating if OpenAI investors were misled, WSJ reports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-03-01,gap,1,"OpenAI to name new board members within a month, Washington Post reports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-03-04,gap,2,WTO e-commerce tariff moratorium wins temporary reprieve | OpenAI's Top Executives Rejected Several Claims Elon Musk Has Made In A Lawsuit-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-03-06,gap,1,OpenAI seeks to dismiss all of Musk's claims in lawsuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-03-07,gap,2,"Y Combinator CEO Garry Tan Discussed OpenAI Board Role- The Information | LinkedIn down for thousands of users, Downdetector shows",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSFT,2024-03-08,gap,2,Microsoft says Russian-state sponsored hackers have been able to access internal | Microsoft says a cyber threat actor has been able to access internal systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
