Ticker,Model,MAE,MAPE_%
AAPL,MLP,9.450103947120944,4.106172889691139
AAPL,LSTM,3.1366188523582137,1.3575402245855506
AAPL,FinBERT-LSTM,4.763202149160873,2.0640634813315484
AMZN,MLP,2.2717284733072947,1.2074530427141028
AMZN,LSTM,2.325782157841442,1.248858247404027
AMZN,FinBERT-LSTM,3.003475755570025,1.5990593658633687
GOOGL,MLP,4.2158445540364555,2.561011148081962
GOOGL,LSTM,1.5594580490451397,0.9552663832112794
GOOGL,FinBERT-LSTM,2.896659149667246,1.7696781752418234
META,MLP,54.2176386263021,9.381688560728369
META,LSTM,29.55613936704281,5.1108265667970265
META,FinBERT-LSTM,24.690373070746528,4.265625914182465
MSFT,MLP,3.892738986183432,0.9212473131712281
MSFT,LSTM,2.6503270265480263,0.6275183659804978
MSFT,FinBERT-LSTM,2.6657595287181644,0.6299224653965957
NVDA,MLP,8.183298418203849,6.162108792230972
NVDA,LSTM,5.439848521647137,4.087300679215566
NVDA,FinBERT-LSTM,4.569916594816983,3.6816168679051327
TSLA,MLP,12.70496854636863,5.182769880050846
TSLA,LSTM,6.725869627821182,2.7218211043944005
TSLA,FinBERT-LSTM,6.384879502676506,2.6012415302956216
