"Date","Price","Open","High","Low","Vol.","Change %"
"03/27/2026","361.83","369.69","369.80","359.49","60.65M","-2.76%"
"03/26/2026","372.11","381.60","384.44","371.87","55.52M","-3.59%"
"03/25/2026","385.95","389.99","396.23","385.01","55.16M","0.76%"
"03/24/2026","383.03","376.56","387.48","376.31","60.00M","0.57%"
"03/23/2026","380.85","373.09","385.33","372.73","74.61M","3.50%"
"03/20/2026","367.96","379.85","379.89","364.46","78.63M","-3.24%"
"03/19/2026","380.30","387.27","387.27","378.73","67.08M","-3.18%"
"03/18/2026","392.78","399.00","403.07","392.31","50.85M","-1.63%"
"03/17/2026","399.27","395.69","400.12","393.00","46.89M","0.94%"
"03/16/2026","395.56","396.22","403.73","394.42","58.07M","1.11%"
"03/13/2026","391.20","399.17","400.20","389.95","58.50M","-0.96%"
"03/12/2026","395.01","405.17","406.50","394.65","60.97M","-3.14%"
"03/11/2026","407.82","402.28","416.38","402.15","62.56M","2.15%"
"03/10/2026","399.23","402.22","406.59","398.19","59.26M","0.14%"
"03/09/2026","398.68","390.05","401.59","381.40","67.02M","0.49%"
"03/06/2026","396.73","398.09","402.35","394.21","64.05M","-2.17%"
"03/05/2026","405.55","401.57","408.62","399.42","51.93M","-0.10%"
"03/04/2026","405.94","397.85","408.33","394.58","68.31M","3.44%"
"03/03/2026","392.43","395.09","396.34","385.39","62.62M","-2.70%"
"03/02/2026","403.32","390.60","404.54","388.25","55.09M","0.20%"
"02/27/2026","402.51","402.94","407.12","398.11","56.89M","-1.49%"
"02/26/2026","408.58","414.42","416.81","403.66","53.60M","-2.11%"
